steps,timeInµSec,height,width,nbCells,fpOpByStep,gigaflops,cellByS
200,1838.58,10,10,64,640,0.0696191,6.96191e+06
200,1638.68,10,10,64,640,0.0781118,7.81118e+06
200,1713.14,10,10,64,640,0.0747166,7.47166e+06
200,1702.48,10,10,64,640,0.0751843,7.51843e+06
200,1742.79,10,10,64,640,0.0734455,7.34455e+06
200,1659.48,10,10,64,640,0.0771326,7.71326e+06
200,1725.14,10,10,64,640,0.0741969,7.41969e+06
200,1723.49,10,10,64,640,0.074268,7.4268e+06
200,1773.53,10,10,64,640,0.0721723,7.21723e+06
200,1613.96,10,10,64,640,0.0793079,7.93079e+06
200,1679.5,10,10,64,640,0.0762131,7.62131e+06
200,1704.25,10,10,64,640,0.0751063,7.51063e+06
200,1715.75,10,10,64,640,0.074603,7.4603e+06
200,1834.22,10,10,64,640,0.0697845,6.97845e+06
200,1623.88,10,10,64,640,0.0788238,7.88238e+06
200,1770.9,10,10,64,640,0.0722797,7.22797e+06
200,1639.26,10,10,64,640,0.0780841,7.80841e+06
200,1765.62,10,10,64,640,0.0724957,7.24957e+06
200,1630.1,10,10,64,640,0.0785229,7.85229e+06
200,1746.99,10,10,64,640,0.073269,7.3269e+06
200,1878.18,20,20,324,3240,0.345014,3.45014e+07
200,3422.93,20,20,324,3240,0.189311,1.89311e+07
200,1917.4,20,20,324,3240,0.337958,3.37958e+07
200,1826.63,20,20,324,3240,0.354752,3.54752e+07
200,1898.8,20,20,324,3240,0.341268,3.41268e+07
200,1847.32,20,20,324,3240,0.350778,3.50778e+07
200,1862.88,20,20,324,3240,0.347848,3.47848e+07
200,1916.26,20,20,324,3240,0.338158,3.38158e+07
200,1856.15,20,20,324,3240,0.34911,3.4911e+07
200,1793.38,20,20,324,3240,0.361329,3.61329e+07
200,1906.24,20,20,324,3240,0.339935,3.39935e+07
200,1817.82,20,20,324,3240,0.356471,3.56471e+07
200,1780.49,20,20,324,3240,0.363944,3.63944e+07
200,1882.52,20,20,324,3240,0.34422,3.4422e+07
200,1815.82,20,20,324,3240,0.356863,3.56863e+07
200,1856.64,20,20,324,3240,0.349018,3.49018e+07
200,1918.87,20,20,324,3240,0.337699,3.37699e+07
200,1770.91,20,20,324,3240,0.365913,3.65913e+07
200,1872.74,20,20,324,3240,0.346018,3.46018e+07
200,1834.77,20,20,324,3240,0.353178,3.53178e+07
200,2141.45,30,30,784,7840,0.732214,7.32214e+07
200,1946.35,30,30,784,7840,0.805611,8.05611e+07
200,2030.11,30,30,784,7840,0.772372,7.72372e+07
200,2067.82,30,30,784,7840,0.758285,7.58285e+07
200,1990,30,30,784,7840,0.78794,7.8794e+07
200,2074.1,30,30,784,7840,0.755991,7.55991e+07
200,1986.85,30,30,784,7840,0.789189,7.89189e+07
200,2063.04,30,30,784,7840,0.760043,7.60043e+07
200,2079.14,30,30,784,7840,0.754159,7.54159e+07
200,2106.14,30,30,784,7840,0.744489,7.44489e+07
200,2151.28,30,30,784,7840,0.728868,7.28868e+07
200,2081.58,30,30,784,7840,0.753274,7.53274e+07
200,2092.55,30,30,784,7840,0.749324,7.49324e+07
200,1995.52,30,30,784,7840,0.785759,7.85759e+07
200,1920.34,30,30,784,7840,0.816522,8.16522e+07
200,1973.08,30,30,784,7840,0.794695,7.94695e+07
200,2028.4,30,30,784,7840,0.773022,7.73022e+07
200,2140.22,30,30,784,7840,0.732636,7.32636e+07
200,1923.49,30,30,784,7840,0.815186,8.15186e+07
200,2148.87,30,30,784,7840,0.729687,7.29687e+07
200,2239.02,40,40,1444,14440,1.28985,1.28985e+08
200,2254.45,40,40,1444,14440,1.28102,1.28102e+08
200,2066.46,40,40,1444,14440,1.39756,1.39756e+08
200,2070.49,40,40,1444,14440,1.39484,1.39484e+08
200,2241.89,40,40,1444,14440,1.2882,1.2882e+08
200,2106.87,40,40,1444,14440,1.37075,1.37075e+08
200,2140.86,40,40,1444,14440,1.34899,1.34899e+08
200,2142.69,40,40,1444,14440,1.34784,1.34784e+08
200,2298.6,40,40,1444,14440,1.25642,1.25642e+08
200,2188.84,40,40,1444,14440,1.31942,1.31942e+08
200,2057.04,40,40,1444,14440,1.40396,1.40396e+08
200,2169.11,40,40,1444,14440,1.33142,1.33142e+08
200,2344.77,40,40,1444,14440,1.23168,1.23168e+08
200,2243.58,40,40,1444,14440,1.28723,1.28723e+08
200,2234.2,40,40,1444,14440,1.29263,1.29263e+08
200,2018.73,40,40,1444,14440,1.4306,1.4306e+08
200,2334.43,40,40,1444,14440,1.23713,1.23713e+08
200,2306.71,40,40,1444,14440,1.252,1.252e+08
200,2109.07,40,40,1444,14440,1.36932,1.36932e+08
200,2027.02,40,40,1444,14440,1.42475,1.42475e+08
200,2911.96,50,50,2304,23040,1.58244,1.58244e+08
200,2558.85,50,50,2304,23040,1.80081,1.80081e+08
200,2543.66,50,50,2304,23040,1.81156,1.81156e+08
200,2725.14,50,50,2304,23040,1.69092,1.69092e+08
200,2560.78,50,50,2304,23040,1.79946,1.79946e+08
