steps,timeInµSec,height,width,tiledW,tiledH,nbCells,fpOpByStep,gigaflops,cellByS
200,1446.14,10,10,10,10,64,640,0.0885115,8.85115e+06
200,1444.17,10,10,10,10,64,640,0.088632,8.8632e+06
200,1362.62,10,10,10,10,64,640,0.0939365,9.39365e+06
200,1393.93,10,10,10,10,64,640,0.0918268,9.18268e+06
200,1504.4,10,10,10,10,64,640,0.0850838,8.50838e+06
200,1443.8,10,10,10,10,64,640,0.0886552,8.86552e+06
200,1405.13,10,10,10,10,64,640,0.0910949,9.10949e+06
200,1424.57,10,10,10,10,64,640,0.089852,8.9852e+06
200,1455.62,10,10,10,10,64,640,0.0879353,8.79353e+06
200,1445.06,10,10,10,10,64,640,0.0885775,8.85775e+06
200,1388.14,10,10,10,10,64,640,0.0922094,9.22094e+06
200,1464.51,10,10,10,10,64,640,0.0874012,8.74012e+06
200,1404.01,10,10,10,10,64,640,0.0911676,9.11676e+06
200,1457.91,10,10,10,10,64,640,0.0877966,8.77966e+06
200,1359.95,10,10,10,10,64,640,0.0941212,9.41212e+06
200,1381.56,10,10,10,10,64,640,0.0926492,9.26492e+06
200,1414.81,10,10,10,10,64,640,0.0904716,9.04716e+06
200,1481.28,10,10,10,10,64,640,0.0864118,8.64118e+06
200,1413.17,10,10,10,10,64,640,0.0905764,9.05764e+06
200,1439.01,10,10,10,10,64,640,0.0889503,8.89503e+06
200,1982.28,20,20,10,10,324,3240,0.326897,3.26897e+07
200,1927.01,20,20,10,10,324,3240,0.336272,3.36272e+07
200,1957.18,20,20,10,10,324,3240,0.331088,3.31088e+07
200,1802.06,20,20,10,10,324,3240,0.359588,3.59588e+07
200,1924.48,20,20,10,10,324,3240,0.336714,3.36714e+07
200,2044.28,20,20,10,10,324,3240,0.316983,3.16983e+07
200,1929.03,20,20,10,10,324,3240,0.335921,3.35921e+07
200,2102.32,20,20,10,10,324,3240,0.308231,3.08231e+07
200,1999.8,20,20,10,10,324,3240,0.324033,3.24033e+07
200,1992.12,20,20,10,10,324,3240,0.325282,3.25282e+07
200,1916.21,20,20,10,10,324,3240,0.338168,3.38168e+07
200,1960.53,20,20,10,10,324,3240,0.330522,3.30522e+07
200,1960.17,20,20,10,10,324,3240,0.330584,3.30584e+07
200,1978.67,20,20,10,10,324,3240,0.327492,3.27492e+07
200,1971.53,20,20,10,10,324,3240,0.328679,3.28679e+07
200,2114.76,20,20,10,10,324,3240,0.306418,3.06418e+07
200,1959.88,20,20,10,10,324,3240,0.330632,3.30632e+07
200,2029.63,20,20,10,10,324,3240,0.319269,3.19269e+07
200,1991.23,20,20,10,10,324,3240,0.325428,3.25428e+07
200,2014.42,20,20,10,10,324,3240,0.321681,3.21681e+07
200,2444.93,30,30,10,10,784,7840,0.641327,6.41327e+07
200,2277.1,30,30,10,10,784,7840,0.688594,6.88594e+07
200,2268.07,30,30,10,10,784,7840,0.691337,6.91337e+07
200,2339.24,30,30,10,10,784,7840,0.670304,6.70304e+07
200,2338.51,30,30,10,10,784,7840,0.670514,6.70514e+07
200,2301.02,30,30,10,10,784,7840,0.681436,6.81436e+07
200,2279.46,30,30,10,10,784,7840,0.687883,6.87883e+07
200,2398.06,30,30,10,10,784,7840,0.653861,6.53861e+07
