steps,timeInµSec,height,width,nbCells,fpOpByStep,gigaflops,cellByS
200,43.499,10,10,64,640,2.9426,2.9426e+08
200,43.165,10,10,64,640,2.96537,2.96537e+08
200,43.137,10,10,64,640,2.96729,2.96729e+08
200,43.153,10,10,64,640,2.96619,2.96619e+08
200,43.13,10,10,64,640,2.96777,2.96777e+08
200,43.273,10,10,64,640,2.95796,2.95796e+08
200,43.132,10,10,64,640,2.96763,2.96763e+08
200,43.172,10,10,64,640,2.96488,2.96488e+08
200,43.121,10,10,64,640,2.96839,2.96839e+08
200,43.166,10,10,64,640,2.9653,2.9653e+08
200,43.144,10,10,64,640,2.96681,2.96681e+08
200,43.156,10,10,64,640,2.96598,2.96598e+08
200,43.123,10,10,64,640,2.96825,2.96825e+08
200,43.233,10,10,64,640,2.9607,2.9607e+08
200,43.144,10,10,64,640,2.96681,2.96681e+08
200,43.113,10,10,64,640,2.96894,2.96894e+08
200,43.16,10,10,64,640,2.96571,2.96571e+08
200,43.132,10,10,64,640,2.96763,2.96763e+08
200,43.174,10,10,64,640,2.96475,2.96475e+08
200,43.196,10,10,64,640,2.96324,2.96324e+08
200,291.548,20,20,324,3240,2.22262,2.22262e+08
200,268.254,20,20,324,3240,2.41562,2.41562e+08
200,285.236,20,20,324,3240,2.2718,2.2718e+08
200,273.326,20,20,324,3240,2.3708,2.3708e+08
200,268.399,20,20,324,3240,2.41432,2.41432e+08
200,268.376,20,20,324,3240,2.41452,2.41452e+08
200,286.032,20,20,324,3240,2.26548,2.26548e+08
200,271.226,20,20,324,3240,2.38915,2.38915e+08
200,291.219,20,20,324,3240,2.22513,2.22513e+08
200,290.294,20,20,324,3240,2.23222,2.23222e+08
200,284.477,20,20,324,3240,2.27786,2.27786e+08
200,305.152,20,20,324,3240,2.12353,2.12353e+08
200,273.714,20,20,324,3240,2.36743,2.36743e+08
200,283.574,20,20,324,3240,2.28512,2.28512e+08
200,291.55,20,20,324,3240,2.2226,2.2226e+08
200,290.053,20,20,324,3240,2.23407,2.23407e+08
200,291.536,20,20,324,3240,2.22271,2.22271e+08
200,311.045,20,20,324,3240,2.0833,2.0833e+08
200,268.381,20,20,324,3240,2.41448,2.41448e+08
200,290.244,20,20,324,3240,2.2326,2.2326e+08
200,687.3,30,30,784,7840,2.28139,2.28139e+08
200,687.519,30,30,784,7840,2.28066,2.28066e+08
200,684.433,30,30,784,7840,2.29095,2.29095e+08
200,692.967,30,30,784,7840,2.26273,2.26273e+08
200,687.269,30,30,784,7840,2.28149,2.28149e+08
200,693.049,30,30,784,7840,2.26247,2.26247e+08
200,697.407,30,30,784,7840,2.24833,2.24833e+08
200,687.292,30,30,784,7840,2.28142,2.28142e+08
200,696.075,30,30,784,7840,2.25263,2.25263e+08
200,690.529,30,30,784,7840,2.27072,2.27072e+08
200,684.447,30,30,784,7840,2.2909,2.2909e+08
200,687.386,30,30,784,7840,2.28111,2.28111e+08
200,684.63,30,30,784,7840,2.29029,2.29029e+08
200,690.915,30,30,784,7840,2.26945,2.26945e+08
200,700.266,30,30,784,7840,2.23915,2.23915e+08
200,687.289,30,30,784,7840,2.28143,2.28143e+08
200,687.284,30,30,784,7840,2.28144,2.28144e+08
200,696.496,30,30,784,7840,2.25127,2.25127e+08
200,690.245,30,30,784,7840,2.27166,2.27166e+08
200,697.325,30,30,784,7840,2.24859,2.24859e+08
200,1210.93,40,40,1444,14440,2.38494,2.38494e+08
200,1214.56,40,40,1444,14440,2.37782,2.37782e+08
200,1208.92,40,40,1444,14440,2.38891,2.38891e+08
200,1211.79,40,40,1444,14440,2.38325,2.38325e+08
200,1205.42,40,40,1444,14440,2.39585,2.39585e+08
200,1207.25,40,40,1444,14440,2.39222,2.39222e+08
200,1210.14,40,40,1444,14440,2.38651,2.38651e+08
200,1209.69,40,40,1444,14440,2.38738,2.38738e+08
200,1212.46,40,40,1444,14440,2.38193,2.38193e+08
200,1210.95,40,40,1444,14440,2.38491,2.38491e+08
200,1221.42,40,40,1444,14440,2.36447,2.36447e+08
200,1210.01,40,40,1444,14440,2.38675,2.38675e+08
200,1211.72,40,40,1444,14440,2.38339,2.38339e+08
200,1222.66,40,40,1444,14440,2.36206,2.36206e+08
200,1207.08,40,40,1444,14440,2.39255,2.39255e+08
200,1211.71,40,40,1444,14440,2.3834,2.3834e+08
200,1220.95,40,40,1444,14440,2.36537,2.36537e+08
200,1226.24,40,40,1444,14440,2.35517,2.35517e+08
200,1212.69,40,40,1444,14440,2.38149,2.38149e+08
200,1223.52,40,40,1444,14440,2.36041,2.36041e+08
200,1901.7,50,50,2304,23040,2.42309,2.42309e+08
200,1910.47,50,50,2304,23040,2.41197,2.41197e+08
200,1905.94,50,50,2304,23040,2.41771,2.41771e+08
200,1902.89,50,50,2304,23040,2.42158,2.42158e+08
200,1898.51,50,50,2304,23040,2.42717,2.42717e+08
200,1892.54,50,50,2304,23040,2.43483,2.43483e+08
200,1907.44,50,50,2304,23040,2.4158,2.4158e+08
200,1897.69,50,50,2304,23040,2.42821,2.42821e+08
200,1899.4,50,50,2304,23040,2.42602,2.42602e+08
200,1907.39,50,50,2304,23040,2.41586,2.41586e+08
200,1916.69,50,50,2304,23040,2.40415,2.40415e+08
200,1903.8,50,50,2304,23040,2.42042,2.42042e+08
200,1906.56,50,50,2304,23040,2.41692,2.41692e+08
200,1908.76,50,50,2304,23040,2.41413,2.41413e+08
200,1910.4,50,50,2304,23040,2.41206,2.41206e+08
200,1904.98,50,50,2304,23040,2.41892,2.41892e+08
200,1909.47,50,50,2304,23040,2.41324,2.41324e+08
200,1912.03,50,50,2304,23040,2.41001,2.41001e+08
200,1902.29,50,50,2304,23040,2.42234,2.42234e+08
200,1909.45,50,50,2304,23040,2.41326,2.41326e+08
200,2671.4,60,60,3364,33640,2.51853,2.51853e+08
200,2666.31,60,60,3364,33640,2.52334,2.52334e+08
200,2647.91,60,60,3364,33640,2.54088,2.54088e+08
200,2654.78,60,60,3364,33640,2.5343,2.5343e+08
200,2645,60,60,3364,33640,2.54367,2.54367e+08
200,2658.56,60,60,3364,33640,2.53069,2.53069e+08
200,2656.19,60,60,3364,33640,2.53295,2.53295e+08
200,2668.21,60,60,3364,33640,2.52154,2.52154e+08
200,2660.97,60,60,3364,33640,2.5284,2.5284e+08
200,2645.35,60,60,3364,33640,2.54333,2.54333e+08
200,2658.14,60,60,3364,33640,2.5311,2.5311e+08
200,2658.17,60,60,3364,33640,2.53106,2.53106e+08
200,2659.31,60,60,3364,33640,2.52998,2.52998e+08
200,2645,60,60,3364,33640,2.54367,2.54367e+08
200,2666.6,60,60,3364,33640,2.52306,2.52306e+08
200,2656.04,60,60,3364,33640,2.53309,2.53309e+08
200,2666.81,60,60,3364,33640,2.52286,2.52286e+08
200,2658.19,60,60,3364,33640,2.53105,2.53105e+08
200,2643.36,60,60,3364,33640,2.54525,2.54525e+08
200,2640.78,60,60,3364,33640,2.54774,2.54774e+08
200,3683.26,70,70,4624,46240,2.51082,2.51082e+08
200,3722.78,70,70,4624,46240,2.48416,2.48416e+08
200,3698.56,70,70,4624,46240,2.50043,2.50043e+08
200,3696.11,70,70,4624,46240,2.50209,2.50209e+08
200,3699.08,70,70,4624,46240,2.50008,2.50008e+08
200,3687.67,70,70,4624,46240,2.50782,2.50782e+08
200,3683.78,70,70,4624,46240,2.51047,2.51047e+08
200,3694.84,70,70,4624,46240,2.50295,2.50295e+08
200,3694.9,70,70,4624,46240,2.50291,2.50291e+08
200,3685.36,70,70,4624,46240,2.50939,2.50939e+08
200,3694.21,70,70,4624,46240,2.50338,2.50338e+08
200,3696,70,70,4624,46240,2.50216,2.50216e+08
200,3691.81,70,70,4624,46240,2.505,2.505e+08
200,3694.41,70,70,4624,46240,2.50324,2.50324e+08
200,3693.27,70,70,4624,46240,2.50401,2.50401e+08
